camera_name,time,class,name
EunhangIntersection,2023-08-11 09:38:01.443016,5,bus
EunhangIntersection,2023-08-11 09:38:01.443016,2,car
EunhangIntersection,2023-08-11 09:38:01.443016,2,car
EunhangIntersection,2023-08-11 09:38:01.443016,2,car
EunhangIntersection,2023-08-11 09:38:01.443016,2,car
EunhangIntersection,2023-08-11 09:38:01.443016,9,traffic light
EunhangIntersection,2023-08-11 09:38:01.443016,2,car
EunhangIntersection,2023-08-11 09:38:01.443016,2,car
EunhangIntersection,2023-08-11 09:38:01.443016,2,car
EunhangIntersection,2023-08-11 09:38:01.443016,9,traffic light
EunhangIntersection,2023-08-11 09:38:01.443016,9,traffic light
EunhangIntersection,2023-08-11 09:38:01.443016,2,car
