camera_name,time,class,name
Je1sunhwan_incheongrandpark,2023-08-11 09:38:01.443340,7,truck
Je1sunhwan_incheongrandpark,2023-08-11 09:38:01.443340,2,car
Je1sunhwan_incheongrandpark,2023-08-11 09:38:01.443340,2,car
Je1sunhwan_incheongrandpark,2023-08-11 09:38:01.443340,2,car
Je1sunhwan_incheongrandpark,2023-08-11 09:38:01.443340,7,truck
Je1sunhwan_incheongrandpark,2023-08-11 09:38:01.443340,2,car
Je1sunhwan_incheongrandpark,2023-08-11 09:38:01.443340,2,car
Je1sunhwan_incheongrandpark,2023-08-11 09:38:01.443340,7,truck
Je1sunhwan_incheongrandpark,2023-08-11 09:38:01.443340,2,car
Je1sunhwan_incheongrandpark,2023-08-11 09:38:01.443340,2,car
Je1sunhwan_incheongrandpark,2023-08-11 09:38:01.443340,2,car
Je1sunhwan_incheongrandpark,2023-08-11 09:38:01.443340,2,car
Je1sunhwan_incheongrandpark,2023-08-11 09:38:01.443340,2,car
Je1sunhwan_incheongrandpark,2023-08-11 09:38:01.443340,7,truck
Je1sunhwan_incheongrandpark,2023-08-11 09:38:01.443340,2,car
Je1sunhwan_incheongrandpark,2023-08-11 09:38:01.443340,2,car
Je1sunhwan_incheongrandpark,2023-08-11 09:38:01.443340,7,truck
Je1sunhwan_incheongrandpark,2023-08-11 09:38:01.443340,2,car
Je1sunhwan_incheongrandpark,2023-08-11 09:38:01.443340,7,truck
Je1sunhwan_incheongrandpark,2023-08-11 09:38:01.443340,7,truck
Je1sunhwan_incheongrandpark,2023-08-11 09:38:01.443340,7,truck
Je1sunhwan_incheongrandpark,2023-08-11 09:38:01.443340,2,car
Je1sunhwan_incheongrandpark,2023-08-11 09:38:01.443340,7,truck
Je1sunhwan_incheongrandpark,2023-08-11 09:38:01.443340,2,car
Je1sunhwan_incheongrandpark,2023-08-11 09:38:01.443340,2,car
